Category,Freq
FAMILY,1137
GAME,766
TOOLS,494
MEDICAL,308
BUSINESS,301
FINANCE,295
SPORTS,291
PRODUCTIVITY,283
COMMUNICATION,274
HEALTH_AND_FITNESS,274
SHOPPING,227
SOCIAL,225
NEWS_AND_MAGAZINES,223
LIFESTYLE,223
PHOTOGRAPHY,219
PERSONALIZATION,217
DATING,212
TRAVEL_AND_LOCAL,200
ENTERTAINMENT,142
BOOKS_AND_REFERENCE,117
FOOD_AND_DRINK,114
VIDEO_PLAYERS,113
EDUCATION,111
MAPS_AND_NAVIGATION,104
AUTO_AND_VEHICLES,74
HOUSE_AND_HOME,68
WEATHER,61
ART_AND_DESIGN,53
PARENTING,51
COMICS,50
EVENTS,46
BEAUTY,40
LIBRARIES_AND_DEMO,36
